Category,category_id,Subcategory,subcategory_id,amount,year,,,2013,
議会費,1,議会費,1-1,229967000,2015,legislative,legislative,229419000,548000
総務費,2,総務管理費,2-1,2126590000,2015,dollar,government,2278810000,-152220000
総務費,2,徴税費,2-2,337479000,2015,economic-aid,,356620000,-19141000
総務費,2,戸籍住民基本台帳費,2-3,115324000,2015,admin,,97697000,17627000
総務費,2,選挙費,2-4,96571000,2015,civilian-action,,65100000,31471000
総務費,2,統計調査費,2-5,48311000,2015,research,,18788000,29523000
総務費,2,監査委員費,2-6,5116000,2015,courts,,14373000,-9257000
民生費,3,社会福祉費,3-1,4283935000,2015,old-age,family,4059589000,224346000
民生費,3,児童福祉費,3-2,4231584000,2015,culture,,3508348000,723236000
民生費,3,生活保護費,3-3,553050000,2015,unemployment,,551347000,1703000
民生費,3,国民年金事務費,3-4,25190000,2015,money,,21426000,3764000
民生費,3,災害援助費,3-5,5040000,2015,foreign-military-aid,,5040000,0
衛生費,4,保健衛生費,4-1,876324000,2015,health,health,902639000,-26315000
衛生費,4,清掃費,4-2,746341000,2015,street-lights,,623779000,122562000
衛生費,4,上水道費,4-3,55625000,2015,water,,86828000,-31203000
労働費,5,労働諸費,5-1,172668000,2015,labour,labour,184277000,-11609000
農林水産業費,6,農業費,6-1,939145000,2015,farms,farms,768356000,170789000
農林水産業費,6,林業費,6-2,153486000,2015,forest,,69791000,83695000
商工費,7,商工費,7-1,1838326000,2015,economy-tourism,economy-tourism,2283369000,-445043000
土木費,8,土木管理費,8-1,228679000,2015,manufactoring-construction,coal,208986000,19693000
土木費,8,道路橋梁費,8-2,944370000,2015,railways,,1213990000,-269620000
土木費,8,河川費,8-3,5651000,2015,construction,,8780000,-3129000
土木費,8,都市計画費,8-4,1480655000,2015,our-streets,,1910220000,-429565000
土木費,8,住宅費,8-5,64258000,2015,housing,,136314000,-72056000
消防費,9,消防費,9-1,831195000,2015,fire-brigade,fire-brigade,798989000,32206000
教育費,10,教育総務費,10-1,367500000,2015,books,schools,336851000,30649000
教育費,10,小学校費,10-2,1165126000,2015,secondary-lower,,810162000,354964000
教育費,10,中学校費,10-3,585191000,2015,secondary-upper,,520348000,64843000
教育費,10,幼稚園費,10-4,35140000,2015,pre-school,,26946000,8194000
教育費,10,社会教育費,10-5,1113950000,2015,community,,892019000,221931000
教育費,10,保健体育費,10-6,136144000,2015,sports,,290410000,-154266000
災害復旧費,11,農林水産施設災害復旧費,11-1,713000,2015,civil-defence,aid-developing-countries,994000,-281000
災害復旧費,11,土木施設災害復旧費,11-2,575000,2015,order-safety,,574000,1000
公債費,12,公債費,12-1,3430781000,2015,public-debt,public-debt,3162821000,267960000
諸支出費,13,公営企業費,13-1,210000000,2015,publicaffairs,publicaffairs,196000000,14000000
予備費,14,予備費,14-1,10000000,2015,admin,admin,10000000,0
